,Price,bedrooms,bathrooms,nearestStation,location.latitude,location.longitude,latitude_deviation,longitude_deviation,tenure.tenureType,feature__1 bedroom,feature__2 bedrooms,feature__2 double bedrooms,feature__allocated parking,feature__allocated parking space,feature__balcony,feature__bathroom,feature__chain free,feature__close to local amenities,feature__communal garden,feature__communal gardens,feature__double bedroom,feature__double glazed,feature__double glazing,feature__epc rating c,feature__epc rating d,feature__excellent location,feature__excellent transport links,feature__family bathroom,feature__first floor,feature__fitted kitchen,feature__garage,feature__garden,feature__gas central heating,feature__great location,feature__ground floor,feature__kitchen,feature__leasehold,feature__long lease,feature__modern bathroom,feature__modern kitchen,feature__no chain,feature__no onward chain,feature__off street parking,feature__one bedroom,feature__one double bedroom,feature__parking,feature__private balcony,feature__private garden,feature__private rear garden,feature__reception room,feature__separate kitchen,feature__share of freehold,feature__three bedrooms,feature__three double bedrooms,feature__top floor,feature__two bathrooms,feature__two bedrooms,feature__two double bedrooms,feature__two reception rooms
55839051,599950.0,2.0,1.0,0.25916821605905815,51.579186,-0.20902,0.07946599999999648,0.10460000000000001,LEASEHOLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55940994,385000.0,2.0,2.0,0.40398667334547583,51.37693,-0.23887,0.12279000000000195,0.13445000000000001,LEASEHOLD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56449305,380000.0,2.0,1.0,0.3102709158383655,51.600483,-0.062096,0.1007629999999935,0.042324,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57221413,475000.0,3.0,2.0,0.40978422396655784,51.49726,-0.42253,0.002460000000006346,0.31811,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57878227,490000.0,2.0,1.0,0.05249756994387428,51.58027,0.02229,0.08054999999999524,0.12671,SHARE_OF_FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59258796,475000.0,3.0,1.0,0.42457329411159,51.536335,-0.068537,0.03661499999999762,0.035883,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59658138,499995.0,1.0,1.0,0.3965437370824604,51.462211,-0.196876,0.037509000000000015,0.092456,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60741240,435000.0,2.0,1.0,0.1620137511380451,51.61215,-0.27743,0.11242999999999626,0.17301,LEASEHOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61387062,375000.0,2.0,1.0,0.49310190613520233,51.448697,-0.174068,0.05102300000000071,0.069648,LEASEHOLD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61572003,260000.0,1.0,1.0,0.05104021410268221,51.56389,0.00699,0.06416999999999717,0.11141,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
