Price,location.latitude,location.longitude,distance_to_any_train,bedrooms_model,bathrooms_model,analyticsProperty.imageCount,analyticsProperty.added,floorplan_count,property_age
560000.0,51.541721,-0.348599,0.1,3.0,2.0,12,20211224,4.0,37.0
460000.0,51.402182,-0.098322,0.3,2.0,1.0,11,20220505,9.0,37.0
425000.0,51.48498,-0.09357,0.6,2.0,1.0,13,20201130,4.0,
600000.0,51.527836,-0.111359,0.4,2.0,1.0,16,20220412,4.0,37.0
290000.0,51.545535,0.020819,0.3,2.0,1.0,15,20211103,4.0,
600000.0,51.468943,-0.179589,0.4,2.0,2.0,17,20220214,4.0,13.0
450000.0,51.55323,0.076132,0.5,3.0,1.0,11,20220211,4.0,37.0
171500.0,51.44382,-0.1937,0.3,1.0,,16,20220311,4.0,37.0
515000.0,51.473623,-0.13967,0.2,2.0,1.0,9,20220325,4.0,6.0
550000.0,51.321667,-0.063953,1.1,3.0,,15,20220623,4.0,37.0
550000.0,51.481382,-0.180138,0.5,3.0,,14,20220616,1.0,37.0
155000.0,51.45106,-0.13166,0.7,1.0,,13,20220314,4.0,10.0
425000.0,51.439175,-0.126562,0.1,1.0,1.0,8,20211106,4.0,38.0
575000.0,51.507622,-0.281241,0.3,2.0,1.0,6,20220518,4.0,37.0
525000.0,51.567965,0.1051,0.3,4.0,1.0,12,20220610,4.0,37.0
375000.0,51.526176,-0.068047,0.4,2.0,1.0,14,20220107,4.0,24.0
450000.0,51.5717,0.12261,0.4,3.0,1.0,11,20220215,8.0,37.0
475000.0,51.37889,-0.09941,0.1,3.0,2.0,15,20220329,4.0,5.0
595000.0,51.581939,-0.403518,0.5,3.0,2.0,17,20220108,4.0,
400000.0,51.47851,-0.08159,0.8,2.0,2.0,14,20220118,4.0,
375000.0,51.450046,-0.240502,1.2,1.0,1.0,13,20210826,4.0,37.0
550000.0,51.407563,-0.135143,0.6,3.0,1.0,15,20220512,4.0,
585000.0,51.50804,0.00727,0.4,1.0,1.0,24,20220205,4.0,10.0
104000.0,51.35312,-0.132195,0.9,1.0,,18,20211111,4.0,37.0
375000.0,51.50721,-0.25532,0.3,2.0,1.0,12,20210825,4.0,37.0
400000.0,51.495833,-0.099469,0.1,1.0,1.0,10,20220318,9.0,
325000.0,51.45106,-0.37188,0.6,2.0,1.0,9,20220511,4.0,
450000.0,51.468414,-0.280871,0.3,1.0,1.0,8,20220215,4.0,
395000.0,51.486657,-0.138448,0.3,1.0,1.0,7,20220419,9.0,37.0
475000.0,51.401555,-0.068156,0.4,3.0,1.0,9,20220218,4.0,37.0
425000.0,51.46564,-0.292429,0.3,2.0,1.0,12,20220422,9.0,
570000.0,51.370743,-0.101967,0.2,3.0,2.0,5,20220628,5.0,37.0
425000.0,51.521702,-0.196238,0.2,1.0,1.0,6,20220620,4.0,20.0
325000.0,51.58722,-0.0275,0.4,1.0,1.0,24,20220704,4.0,1.0
470000.0,51.337989,-0.115551,0.1,2.0,1.0,21,20220518,5.0,37.0
499000.0,51.51711,-0.26468,0.1,1.0,1.0,5,20211215,4.0,38.0
400000.0,51.436942,-0.15731,0.1,2.0,1.0,5,20220303,4.0,37.0
183750.0,51.488392,-0.261704,0.5,2.0,2.0,15,20211012,1.0,37.0
500000.0,51.39539,-0.19345,0.3,2.0,1.0,16,20220217,4.0,
280000.0,51.44571,-0.023306,0.1,2.0,1.0,8,20220226,8.0,26.0
375000.0,51.516459,-0.032442,0.4,1.0,1.0,14,20220506,4.0,37.0
525000.0,51.513342,-0.020342,0.3,3.0,2.0,22,20210920,4.0,7.0
385000.0,51.39355,-0.307813,0.2,2.0,1.0,13,20210108,4.0,37.0
200000.0,51.357009,-0.185408,0.3,,1.0,7,20220616,4.0,37.0
425000.0,51.441983,-0.029328,0.2,2.0,1.0,16,20220505,4.0,
600000.0,51.54432,-0.10882,0.3,1.0,1.0,16,20220331,4.0,37.0
340000.0,51.529273,-0.045804,0.4,1.0,1.0,12,20220325,4.0,37.0
300000.0,51.35384,-0.130332,0.9,2.0,,14,20210522,4.0,16.0
330000.0,51.52857,-0.01533,0.2,2.0,1.0,10,20220321,4.0,37.0
550000.0,51.436761,-0.128313,0.1,2.0,1.0,8,20211028,4.0,
499000.0,51.447744,-0.32844,0.2,3.0,,13,20220405,4.0,
517500.0,51.484154,-0.230223,0.6,1.0,,6,20220421,4.0,
350000.0,51.549627,-0.000188,0.4,2.0,1.0,15,20220516,4.0,
550000.0,51.51454,-0.06883,0.2,,1.0,13,20210331,4.0,5.0
600000.0,51.452911,-0.355159,0.3,3.0,1.0,10,20210819,4.0,
475000.0,51.51486,-0.319926,0.1,2.0,1.0,6,20210908,4.0,37.0
555000.0,51.379185,-0.099468,0.2,2.0,2.0,9,20191128,4.0,8.0
180000.0,51.43338,-0.118498,0.5,,1.0,17,20220630,4.0,37.0
400000.0,51.426278,-0.062382,0.3,2.0,1.0,9,20220217,4.0,
375000.0,51.595898,-0.01043,0.8,2.0,1.0,15,20210627,4.0,37.0
475000.0,51.483808,-0.021334,0.4,2.0,1.0,18,20220517,4.0,21.0
440000.0,51.421932,-0.167664,0.4,2.0,1.0,10,20201128,4.0,37.0
585000.0,51.588241,-0.016355,0.4,3.0,2.0,25,20210930,4.0,37.0
510000.0,51.58172,0.02149,0.1,2.0,2.0,16,20220207,4.0,26.0
425000.0,51.418998,-0.103041,0.9,2.0,1.0,10,20220621,4.0,37.0
385000.0,51.438548,-0.064311,0.5,4.0,1.0,39,20220308,4.0,
450000.0,51.42817,-0.19058,0.2,2.0,1.0,13,20210916,4.0,
400000.0,51.474374,-0.075495,0.4,2.0,2.0,9,20220331,9.0,
500000.0,51.58264,-0.39965,0.4,2.0,2.0,17,20220310,4.0,37.0
500000.0,51.372428,-0.164673,0.3,3.0,1.0,8,20220628,4.0,37.0
480000.0,51.547125,0.165692,0.2,4.0,1.0,21,20220405,4.0,37.0
600000.0,51.501662,0.031377,0.1,2.0,2.0,17,20220209,4.0,
475000.0,51.387245,-0.061216,0.2,3.0,1.0,9,20220404,4.0,37.0
550000.0,51.42218,-0.178804,0.3,2.0,1.0,10,20220519,4.0,
400000.0,51.40149,-0.12952,0.8,4.0,1.0,8,20211004,8.0,
450000.0,51.52367,-0.056505,0.1,1.0,1.0,9,20220618,1.0,37.0
240000.0,51.359048,-0.185434,0.2,1.0,1.0,12,20210930,4.0,37.0
600000.0,51.497532,-0.1801,0.2,,,6,20220224,4.0,37.0
250000.0,51.456058,-0.008642,0.4,,1.0,15,20220514,4.0,
500000.0,51.417635,-0.156738,0.2,2.0,2.0,7,20220518,4.0,
300000.0,51.565032,-0.002217,0.4,1.0,1.0,15,20220626,5.0,37.0
400000.0,51.593009,-0.038549,0.4,2.0,1.0,16,20220208,4.0,37.0
440000.0,51.498947,0.028477,0.3,1.0,1.0,5,20220207,4.0,
575000.0,51.498832,-0.021072,0.1,3.0,2.0,17,20220218,4.0,13.0
425000.0,51.5109,-0.268,0.3,1.0,1.0,8,20220316,4.0,38.0
550000.0,51.480184,-0.05202,0.5,2.0,2.0,6,20220601,4.0,
385000.0,51.582431,-0.015481,0.2,2.0,2.0,9,20220311,4.0,27.0
575000.0,51.503089,-0.074556,0.5,1.0,1.0,10,20220215,4.0,
400000.0,51.582395,-0.035415,0.2,2.0,1.0,13,20220510,4.0,37.0
367500.0,51.41173,-0.29347,0.4,2.0,1.0,9,20201009,4.0,37.0
320000.0,51.426617,-0.328037,0.2,2.0,1.0,8,20211004,4.0,
400000.0,51.481892,-0.035423,0.4,1.0,1.0,9,20220215,4.0,
500000.0,51.497851,-0.307158,0.2,2.0,1.0,12,20220518,4.0,37.0
250000.0,51.527462,-0.054274,0.9,1.0,1.0,10,20220517,4.0,19.0
350000.0,51.54551,0.00259,0.1,2.0,1.0,3,20220509,4.0,
260000.0,51.41752,-0.179607,0.1,1.0,1.0,8,20210510,4.0,37.0
575000.0,51.323078,-0.118936,0.7,4.0,1.0,12,20220118,4.0,37.0
540000.0,51.521558,-0.424937,1.3,3.0,1.0,13,20220329,4.0,37.0
425000.0,51.47623,-0.019329,0.2,2.0,2.0,19,20220221,4.0,37.0
500000.0,51.50529,-0.036837,0.5,2.0,1.0,20,20220712,4.0,
